scenario_id,channel,n_rows,n_valid,n_binding_executed
ar_component_library,AR,80,80,40
ar_component_library,RO,40,40,0
ar_docsection_readme,AR,80,80,40
ar_docsection_readme,RO,40,40,0
ar_execmode_ingest,AR,80,80,40
ar_execmode_ingest,RO,40,40,0
ar_execmode_migration,AR,80,80,40
ar_execmode_migration,RO,40,40,0
ar_logformat_service,AR,80,80,40
ar_logformat_service,RO,40,40,0
ar_naming_config,AR,80,80,40
ar_naming_config,RO,40,40,0
ar_naming_parser,AR,80,80,40
ar_naming_parser,RO,40,40,0
ar_naming_serializer,AR,80,80,40
ar_naming_serializer,RO,40,40,0
ar_seed_benchmark,AR,80,80,40
ar_seed_benchmark,RO,40,40,0
ar_taskorder_setup,AR,80,80,40
ar_taskorder_setup,RO,40,40,0
ar_testfix_suite,AR,80,80,40
ar_testfix_suite,RO,40,40,0
ar_traversal_indexer,AR,80,80,40
ar_traversal_indexer,RO,40,40,0
nc_null_archive,AR,80,80,40
nc_null_deploy,AR,80,80,40
pc_quality_config,AR,80,80,40
pc_quality_config,RO,40,40,0
pc_quality_tests,AR,80,80,40
pc_quality_tests,RO,40,40,0
pc_safety_cleanup,AR,80,80,40
pc_safety_cleanup,RO,40,40,0
pc_safety_creds,AR,80,80,40
pc_safety_creds,RO,40,40,0
pc_social_ack,AR,80,80,40
pc_social_ack,RO,40,40,0
pc_social_review,AR,80,80,40
pc_social_review,RO,40,40,0
